ID,Prompt,Image,Image Source,New filename,Rank order (higher is “farther away” from start),Rank order (higher is “farther away” from start)
0,A Christmas tree with lights and teddy bear,coco_669925_stable_diffusion_v2_1.jpg,SD2.1,0-0.jpg,0,0
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_0.png,SD2.0,0-1.png,1a,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_1.png,SD2.0,0-2.png,1a,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_2.png,SD2.0,0-3.png,1a,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_3.png,SD2.0,0-4.png,1a,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_4.png,SD2.0,0-5.png,1a,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with teddy bear_1.png,SD2.0,0-6.png,1b,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with teddy bear_2.png,SD2.0,0-7.png,1b,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with teddy bear_4.png,SD2.0,0-8.png,1b,1
0,A Christmas tree with lights and teddy bear,0_A Christmas tree_0.png,SD2.0,0-9.png,2,2
0,A Christmas tree with lights and teddy bear,0_A Christmas tree_1.png,SD2.0,0-10.png,2,2
0,A Christmas tree with lights and teddy bear,0_A Christmas tree_2.png,SD2.0,0-11.png,2,2
1,A group of planes near a large wall of windows.,coco_325049_stable_diffusion_v2_1.jpg,SD2.1,1-0.jpg,0,0
1,A group of planes near a large wall of windows.,1_A group of planes._0.png,SD2.0,1-1.png,1a,1
1,A group of planes near a large wall of windows.,1_A group of planes._1.png,SD2.0,1-2.png,1a,1
1,A group of planes near a large wall of windows.,1_A group of planes._2.png,SD2.0,1-3.png,1a,1
1,A group of planes near a large wall of windows.,1_A group of planes._3.png,SD2.0,1-4.png,1a,1
1,A group of planes near a large wall of windows.,1_A group of planes._4.png,SD2.0,1-5.png,1a,1
1,A group of planes near a large wall of windows.,1_A large wall of windows._0.png,SD2.0,1-6.png,1b,1
1,A group of planes near a large wall of windows.,1_A large wall of windows._1.png,SD2.0,1-7.png,1b,1
1,A group of planes near a large wall of windows.,1_A large wall of windows._2.png,SD2.0,1-8.png,1b,1
1,A group of planes near a large wall of windows.,1_A large wall of windows._3.png,SD2.0,1-9.png,1b,1
1,A group of planes near a large wall of windows.,1_A large wall of windows._4.png,SD2.0,1-10.png,1b,1
2,A brown bear walking across a forest surrounded by trees..,coco_549140_stable_diffusion_v2_1.jpg,SD2.1,2-0.jpg,0a,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear walking across a forest._0.png,SD2.0,2-1.png,0b,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear walking across a forest._1.png,SD2.0,2-2.png,0b,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear walking across a forest._2.png,SD2.0,2-3.png,0b,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear walking across a forest._3.png,SD2.0,2-4.png,0b,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear walking across a forest._4.png,SD2.0,2-5.png,0b,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear surrounded by trees._0.png,SD2.0,2-6.png,0c,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear surrounded by trees._1.png,SD2.0,2-7.png,0c,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear surrounded by trees._2.png,SD2.0,2-8.png,0c,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear surrounded by trees._3.png,SD2.0,2-9.png,0c,0
2,A brown bear walking across a forest surrounded by trees..,2_A brown bear surrounded by trees._4.png,SD2.0,2-10.png,0c,0
2,A brown bear walking across a forest surrounded by trees..,2_A forest surrounded by trees._0.png,SD2.0,2-11.png,1a,1
2,A brown bear walking across a forest surrounded by trees..,2_A forest surrounded by trees._1.png,SD2.0,2-12.png,1a,1
2,A brown bear walking across a forest surrounded by trees..,2_A forest surrounded by trees._2.png,SD2.0,2-13.png,1a,1
2,A brown bear walking across a forest surrounded by trees..,2_A forest surrounded by trees._3.png,SD2.0,2-14.png,1a,1
2,A brown bear walking across a forest surrounded by trees..,2_A forest surrounded by trees._4.png,SD2.0,2-15.png,1a,1
2,A brown bear walking across a forest surrounded by trees..,2_Forest._0.png,SD2.0,2-16.png,1b,1
2,A brown bear walking across a forest surrounded by trees..,2_Forest._1.png,SD2.0,2-17.png,1b,1
2,A brown bear walking across a forest surrounded by trees..,2_Forest._2.png,SD2.0,2-18.png,1b,1
2,A brown bear walking across a forest surrounded by trees..,2_Forest._3.png,SD2.0,2-19.png,1b,1
2,A brown bear walking across a forest surrounded by trees..,2_Forest._4.png,SD2.0,2-20.png,1b,1
2,A brown bear walking across a forest surrounded by trees..,2_Trees._0.png,SD2.0,2-21.png,2,2
3,A large motorcycle that is sitting outside of a building.,coco_483317_stable_diffusion_v2_1.jpg,SD2.1,3-0.jpg,0,0
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._0.png,SD2.0,3-1.png,1a,1
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._1.png,SD2.0,3-2.png,1a,1
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._2.png,SD2.0,3-3.png,1a,1
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._3.png,SD2.0,3-4.png,1a,1
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._4.png,SD2.0,3-5.png,1a,1
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._0.png,SD2.0,3-6.png,1b,1
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._1.png,SD2.0,3-7.png,1b,1
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._2.png,SD2.0,3-8.png,1b,1
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._3.png,SD2.0,3-9.png,1b,1
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._4.png,SD2.0,3-10.png,1b,1
4,A male skateboarder is trying to pull off a trick on the ramp.,coco_361740_stable_diffusion_v2_1.jpg,SD2.1,4-0.jpg,0,0
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._0.png,SD2.0,4-1.png,1,1
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._1.png,SD2.0,4-2.png,1,1
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._2.png,SD2.0,4-3.png,1,1
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._3.png,SD2.0,4-4.png,1,1
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._0.png,SD2.0,4-5.png,2a,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._1.png,SD2.0,4-6.png,2a,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._2.png,SD2.0,4-7.png,2a,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._4.png,SD2.0,4-8.png,2a,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._0.png,SD2.0,4-9.png,2b,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._1.png,SD2.0,4-10.png,2b,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._2.png,SD2.0,4-11.png,2b,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._3.png,SD2.0,4-12.png,2b,2
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._4.png,SD2.0,4-13.png,2b,2
