id,image_source,spearman,kstest,delta,count
0,synth,-0.8744077307837363,0.9333333333333332,4.206644439697266,2
1,synth,-0.6546536707079772,1.0,5.865099143981933,2
2,synth,-0.8797322352514935,1.0,8.840391991355203,6
3,synth,-0.5237229365663817,0.9,6.0386040687561024,2
4,synth,-0.44546592533522,0.75,1.207303962707519,2
5,synth,-0.711661286755382,0.9705882352941176,5.278664919909308,6
6,synth,-0.5638320444906121,0.9090909090909091,2.5699017120130137,6
7,synth,-0.6605747867373684,0.9066666666666667,4.064931131998699,9
8,synth,-0.8122191739028556,0.8909638554216867,3.8863782606929185,96
9,synth,-0.8446724288928232,0.8887096774193545,7.198582701144682,300
10,synth,-0.5180173098339348,0.905191256830601,6.169897112820317,90
11,synth,-0.8038851777613322,1.0,14.553620306650798,3
12,synth,-0.6546536707079772,1.0,5.820160102844239,2
13,synth,-0.7254008358953415,0.9090909090909091,6.345436052842573,6
14,synth,-0.6654337087276943,0.7648148148148147,5.377069579230414,4
15,synth,-0.7727381499539815,0.95,4.843352222442627,4
16,synth,-0.6546536707079772,1.0,3.92013111114502,2
17,synth,-0.7735660934334689,0.9395348837209302,5.534457511310429,36
18,synth,-0.6546536707079772,1.0,4.5177448272705085,2
19,synth,-0.74535599249993,0.8711111111111111,4.115775197347006,9
20,synth,-0.7026308701213797,1.0,2.888089434305826,2
21,synth,-0.6546536707079772,1.0,8.976529312133788,2
22,synth,-0.6784959936527819,1.0,15.204164457321166,2
23,synth,-0.6546536707079772,1.0,5.036503219604491,2
24,synth,-0.6546536707079772,1.0,6.779729080200196,2
25,synth,-0.8801963358988104,0.9380952380952382,10.140007425489879,6
26,synth,-0.6546536707079772,1.0,9.014477157592772,1
27,synth,-0.6546536707079772,1.0,9.538312530517578,2
28,synth,-0.5237229365663817,0.9,1.9369838714599599,2
29,synth,-0.6546536707079772,1.0,12.442279624938966,2
30,synth,-0.8791663668803511,0.9433760683760684,9.099980814029006,72
31,synth,-0.6546536707079772,1.0,6.594564819335936,1
32,synth,-0.7071067811865475,1.0,1.5683531761169434,2
33,synth,-0.6784959936527819,1.0,11.48588547706604,2
34,synth,-0.5237229365663817,0.9,3.475835609436034,2
35,synth,-0.6546536707079772,1.0,5.62231674194336,2
36,synth,-0.7026308701213797,1.0,3.641845703125,2
37,synth,-0.5356624654983141,0.9,4.059784889221191,2
38,synth,0.07141676407723388,0.55,-0.3264946937561035,2
39,synth,-0.7328130564809373,0.9466666666666668,6.916931889851887,9
40,synth,0.1309307341415954,0.9,-0.38973331451416016,2
41,synth,-0.7228506697649231,0.8635416666666668,2.2429257114728296,12
42,synth,-0.7507056918668215,0.8625,3.89656302134196,4
43,synth,-0.790790557990391,1.0,5.657284736633301,2
44,synth,-0.6784959936527819,1.0,5.722176933288575,2
45,synth,-0.7894878013770471,1.0,10.945231628417968,2
46,synth,-0.7299915849534605,0.8718750000000001,3.704933130741117,12
47,synth,-0.2409902530309829,1.0,1.7871572494506829,2
