image_id,question_score
coco_669925_stable_diffusion_v2_1.jpg,1
0_A Christmas tree with lights_0.png,0.6
0_A Christmas tree with lights_1.png,0.8
0_A Christmas tree with lights_2.png,0.8
0_A Christmas tree with lights_3.png,0.8
0_A Christmas tree with lights_4.png,0.8
0_A Christmas tree with teddy bear_1.png,0.6
0_A Christmas tree with teddy bear_2.png,1
0_A Christmas tree with teddy bear_4.png,1
0_A Christmas tree_0.png,0.4
0_A Christmas tree_1.png,0.4
0_A Christmas tree_2.png,0.6
coco_325049_stable_diffusion_v2_1.jpg,1
1_A group of planes._0.png,0.5
1_A group of planes._1.png,0.5
1_A group of planes._2.png,0.5
1_A group of planes._3.png,0.75
1_A group of planes._4.png,0.75
1_A large wall of windows._0.png,0.5
1_A large wall of windows._1.png,0.5
1_A large wall of windows._2.png,0.5
1_A large wall of windows._3.png,0.5
1_A large wall of windows._4.png,0.5
coco_549140_stable_diffusion_v2_1.jpg,1
2_A brown bear walking across a forest._0.png,1
2_A brown bear walking across a forest._1.png,1
2_A brown bear walking across a forest._2.png,1
2_A brown bear walking across a forest._3.png,1
2_A brown bear walking across a forest._4.png,1
2_A brown bear surrounded by trees._0.png,1
2_A brown bear surrounded by trees._1.png,0.8333333333
2_A brown bear surrounded by trees._2.png,1
2_A brown bear surrounded by trees._3.png,1
2_A brown bear surrounded by trees._4.png,1
2_A forest surrounded by trees._0.png,0.6666666667
2_A forest surrounded by trees._1.png,0.5
2_A forest surrounded by trees._2.png,0.5
2_A forest surrounded by trees._3.png,0.6666666667
2_A forest surrounded by trees._4.png,0.6666666667
2_Forest._0.png,0.6666666667
2_Forest._1.png,0.3333333333
2_Forest._2.png,0.5
2_Forest._3.png,0.3333333333
2_Forest._4.png,0.6666666667
2_Trees._0.png,0.6666666667
coco_483317_stable_diffusion_v2_1.jpg,1
3_A large motorcycle that is sitting._0.png,1
3_A large motorcycle that is sitting._1.png,1
3_A large motorcycle that is sitting._2.png,1
3_A large motorcycle that is sitting._3.png,1
3_A large motorcycle that is sitting._4.png,1
3_Outside of a building._0.png,0.75
3_Outside of a building._1.png,0.75
3_Outside of a building._2.png,0.75
3_Outside of a building._3.png,0.5
3_Outside of a building._4.png,0.75
coco_361740_stable_diffusion_v2_1.jpg,0.8
4_A male skateboarder on the ramp._0.png,1
4_A male skateboarder on the ramp._1.png,0.8
4_A male skateboarder on the ramp._2.png,1
4_A male skateboarder on the ramp._3.png,0.8
4_A male skateboarder is trying to pull off a trick._0.png,1
4_A male skateboarder is trying to pull off a trick._1.png,0.6
4_A male skateboarder is trying to pull off a trick._2.png,0.6
4_A male skateboarder is trying to pull off a trick._4.png,0.6
4_Pulling off a trick on the ramp._0.png,1
4_Pulling off a trick on the ramp._1.png,1
4_Pulling off a trick on the ramp._2.png,0.6
4_Pulling off a trick on the ramp._3.png,0.6
4_Pulling off a trick on the ramp._4.png,0.6
5_A woman is showing a woman on a scooter._0.png,1
5_A woman is showing a woman on a scooter._1.png,1
5_A woman is showing a woman on a scooter._2.png,1
5_A woman is showing a woman on a scooter._3.png,1
5_A woman is showing a woman on a scooter._4.png,1
5_A woman is showing a watermelon slice to a woman._0.png,0.5
5_A woman is showing a watermelon slice to a woman._1.png,0.5
5_A woman is showing a watermelon slice to a woman._2.png,0.5
5_A woman is showing a watermelon slice to a woman._3.png,0.5
5_A woman is showing a watermelon slice to a woman._4.png,0.5
5_A woman on a scooter._0.png,0.75
5_A woman on a scooter._1.png,0.5
5_A woman on a scooter._2.png,0.75
5_A woman on a scooter._3.png,0.5
5_A woman on a scooter._4.png,0.75
5_A watermelon slice to a woman._0.png,0.5
5_A watermelon slice to a woman._2.png,0.5
5_A watermelon slice to a woman._3.png,0.5
5_A watermelon slice to a woman._4.png,0.5
5_A woman with a watermelon slice._1.png,0.5
5_A woman with a watermelon slice._2.png,0.5
5_A woman with a watermelon slice._3.png,0.5
5_A woman with a watermelon slice._4.png,0.5
