id,question_id,vqa_answer,mc_answer,correct
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree is decorated with ornaments and lights.</s>,ornaments,0
0,4,Yes there is a teddy bear in the image.</s>,yes,1
0,5,There is a teddy bear on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree is covered in lights and decorations.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a Christmas tree covered in lights and snow.</s>,no,0
0,5,0</s>,ball,0
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree is adorned with lights.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a Christmas tree with lights on it.</s>,no,0
0,5,0</s>,ball,0
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,There is a star on the Christmas tree.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a lit Christmas tree in a corner of a room.</s>,no,0
0,5,There is a toy star on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,There is a star on the top of the Christmas tree.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a Christmas tree with lights on it.</s>,no,0
0,5,There is a star on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree has lights on it.</s>,lights,1
0,4,No there is no teddy bear in the image. The image features a Christmas tree with lights and presents underneath it.</s>,no,0
0,5,There is a toy train on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,No there are no lights on the Christmas tree in the image.</s>,no,0
0,3,There are ornaments on the Christmas tree including a teddy bear.</s>,ornaments,0
0,4,Yes there is a teddy bear in the image.</s>,yes,1
0,5,There is a stuffed teddy bear on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes the Christmas tree has lights on it.</s>,yes,1
0,3,The Christmas tree is decorated with ornaments including gold balls.</s>,ornaments,0
0,4,Yes there is a teddy bear in the image.</s>,yes,1
0,5,There is a teddy bear on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree is decorated with red and gold ornaments.</s>,ornaments,0
0,4,Yes there is a teddy bear in the image.</s>,yes,1
0,5,There is a teddy bear on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,No there are no lights on the Christmas tree in the image.</s>,no,0
0,3,The Christmas tree is covered in snow giving it a beautiful and festive appearance.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a snow-covered Christmas tree.</s>,no,0
0,5,0</s>,ball,0
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree which is a pine tree decorated with ornaments and lights during the holiday season.</s>,Christmas tree,1
0,2,No there are no lights on the Christmas tree. It is a decorated tree with ornaments and red and silver balls.</s>,no,0
0,3,The Christmas tree is decorated with ornaments including red and silver balls.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a Christmas tree with ornaments including red and silver balls.</s>,no,0
0,5,There is a toy train on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree which is a small potted evergreen tree decorated for the holiday season.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree is decorated with ornaments and lights.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a Christmas tree in a room.</s>,no,0
0,5,There is a toy train on the Christmas tree.</s>,teddy bear,1
1,0,Yes there are planes in the image. They are visible through the windows of a building and they are parked on the tarmac.</s>,yes,1
1,1,Yes there is a wall of windows in the image.</s>,yes,1
1,2,There is a large airport terminal behind the planes.</s>,wall of windows,1
1,3,Yes there is a group of planes in the image which are parked at an airport.</s>,yes,1
1,4,Yes the wall of windows is large as it is described as a "large wall of windows" in the image.</s>,yes,1
1,0,Yes there are several planes in the image.</s>,yes,1
1,1,No there is no wall of windows in the image. The image features a group of airplanes parked on a runway.</s>,no,0
1,2,There is a grass field behind the planes.</s>,concrete wall,0
1,3,Yes there is a group of planes in the image.</s>,yes,1
1,4,Yes the wall of windows is large covering the entire length of the airplane.</s>,yes,1
1,0,Yes there are several planes in the image.</s>,yes,1
