id,image_id,llava_dsg,llava_tifa,llava-alt_dsg,fuyu_dsg,mplug_dsg,mplug_tifa,llava-alt_tifa,fuyu_tifa,llmscore_over,llmscore_ec,clipscore_norm,blipscore_norm,alignscore_norm,viescore
0,0,1,0.8333333333,1,1,1,0.8333333333,0.8333333333,0.5,0,1,0.72,-0.42,0.84,7
0,1,0.6,0.6666666667,0.8,1,0.8,0.6666666667,0.5,0.8333333333,1,0,0.55,-0.33,0.53,8
0,2,0.6,0.6666666667,0.8,0.6,0.8,0.6666666667,0.5,0.6666666667,1,0,0.55,-0.34,0.58,8
0,3,0.8,0.5,0.8,0.6,0.6,0.6666666667,0.6666666667,0.6666666667,1,0,0.61,0.42,0.57,8
0,4,0.8,0.5,0.8,0.4,0.8,0.6666666667,0.6666666667,0.5,1,0,0.58,0.28,0.54,7
0,5,0.8,0.8333333333,0.8,1,0.6,0.8333333333,0.8333333333,0.8333333333,1,0,0.54,0.79,0.63,9
0,6,0.6,0.8333333333,0.8,0.8,0.8,0.8333333333,0.6666666667,0.5,0,0,0.73,-0.74,0.7,8
0,7,1,0.8333333333,1,1,1,0.8333333333,0.8333333333,0.5,0,1,0.68,-0.26,0.79,8
0,8,0.8,0.8333333333,1,0.8,1,0.8333333333,0.8333333333,0.6666666667,0,1,0.64,-0.6,0.75,8
0,9,0.4,0.3333333333,0.4,0.6,0.4,0.3333333333,0.3333333333,0.5,3,12,0.41,-0.05,0.4,7
0,10,0.4,0.3333333333,0.4,0.8,0.4,0.5,0.5,0.6666666667,1,0,0.5,-0.28,0.47,8
0,11,0.6,0.5,0.8,0.4,0.8,0.5,0.6666666667,0.5,1,0,0.5,0.91,0.55,8
1,0,1,1,1,0.25,0.75,1,1,0.4,0,1,0.75,0.8,0.61,8
1,1,0.5,0.4,0.75,0.75,1,0.8,0.6,0.4,0,0,0.63,0.5,0.58,7
1,2,0.5,0.4,0.75,1,1,0.8,0.4,1,0,0,0.64,0.83,0.55,8
1,3,0.5,0.4,1,1,0.5,1,0.8,1,1,0,0.54,0.05,0.56,8
1,4,0.5,0.4,1,0.75,1,0.8,0.8,0.6,0,4,0.65,0.76,0.57,8
1,5,0.5,0.4,0.75,1,1,0.8,0.8,0.6,1,2,0.59,0.08,0.62,8
1,6,0.5,0.6,0.5,0.5,1,0.8,0.6,0.4,1,0,0.59,-0.08,0.34,7
1,7,0.5,0.6,0.5,0.25,0.5,0.6,0.6,0.4,5,4,0.48,0.23,0.61,7
1,8,0.5,0.6,0.5,0.25,0.75,0.6,0.6,0,1,4,0.58,-0.25,0.36,6
1,9,0.25,0.6,0.25,0,0.75,0.8,0.6,0.4,5,9,0.54,0.1,0.48,8
1,10,0.5,0.6,0.5,0.25,0.75,0.8,0.6,0.4,5,0,0.43,0.49,0.5,7
2,0,1,0.875,1,1,1,1,1,0.875,0,0,0.63,-0.79,0.78,9
2,1,1,1,1,0.8333333333,1,1,1,0.75,0,0,0.68,-0.98,0.76,8
2,2,1,1,1,1,1,1,1,0.75,0,0,0.71,-0.63,0.8,8
2,3,1,1,1,1,1,1,1,0.875,0,0,0.64,-0.66,0.73,8
2,4,1,1,1,1,1,1,1,0.75,0,0,0.65,-0.55,0.79,8
2,5,1,1,1,1,1,1,1,0.75,0,0,0.69,-0.83,0.79,8
2,6,1,1,1,1,1,1,1,0.75,0,0,0.69,-0.81,0.75,8
2,7,1,0.875,1,0.8333333333,0.83333333,1,1,0.75,0,0,0.66,-0.59,0.76,8
2,8,0.6666666667,0.875,1,0.6666666667,1,1,0.875,0.75,0,0,0.67,-0.81,0.73,8
2,9,1,1,1,1,1,1,1,0.75,0,0,0.67,-0.61,0.79,8
2,10,0.6666666667,0.875,1,1,1,1,1,0.875,0,0,0.69,-0.69,0.77,8
2,11,0.3333333333,0.25,0.5,0.5,0.5,0.75,0.375,0.5,1,4,0.39,0.01,0.42,8
2,12,0.3333333333,0.25,0.5,0.3333333333,0.66666667,0.5,0.5,0.5,1,0,0.39,0.19,0.39,7
2,13,0.3333333333,0.375,0.3333333333,0.3333333333,0.5,0.75,0.375,0.5,1,4,0.44,-0.38,0.38,8
2,14,0.3333333333,0.375,0.6666666667,0.5,0.66666667,0.5,0.5,0.5,1,4,0.46,-0.46,0.4,7
2,15,0.3333333333,0.5,0.3333333333,0.3333333333,0.66666667,0.5,0.375,0.5,1,0,0.41,-0.56,0.45,8
2,16,0.3333333333,0.375,0.3333333333,0.5,0.5,0.375,0.375,0.375,5,4,0.4,0.24,0.3,7
2,17,0.3333333333,0.25,0.6666666667,0.5,0.5,0.625,0.375,0.25,1,0,0.43,-0.42,0.35,8
2,18,0.3333333333,0.5,0.3333333333,0.3333333333,0.5,0.5,0.5,0.375,1,0,0.4,-0.26,0.33,7
2,19,0.3333333333,0.375,0.3333333333,0.5,0.66666667,0.5,0.375,0.375,1,0,0.39,-0.31,0.33,8
2,20,0.6666666667,0.5,1,0.3333333333,0.66666667,0.75,0.625,0.25,1,0,0.44,-0.41,0.42,7
2,21,0.1666666667,0.375,0.1666666667,0.3333333333,0.33333333,0.375,0.375,0.5,5,4,0.25,0.11,0.1,6
3,0,1,1,1,0.5,1,1,1,0.3333333333,0,0,0.6,-0.44,0.48,8
3,1,0.75,1,1,0.5,1,1,1,0.5,1,1,0.54,-0.46,0.49,8
3,2,0.75,1,1,0.5,1,0.8333333333,1,0.3333333333,0,0,0.57,-0.21,0.47,8
3,3,1,1,1,0.5,1,1,1,0.5,0,2,0.69,-0.65,0.37,8
3,4,1,1,1,0.25,1,0.8333333333,1,0.3333333333,0,0,0.51,-0.03,0.48,8
3,5,1,1,1,0.5,1,1,1,0.3333333333,0,0,0.55,-0.38,0.52,8
3,6,0.25,0.3333333333,0.25,0,0.5,0.6666666667,0.3333333333,0.1666666667,1,0,0.27,-0.04,0.34,7
3,7,0,0.5,0.5,0,0.75,0.6666666667,0.3333333333,0.3333333333,1,0,0.26,-0.31,0.3,2
3,8,0.25,0.5,0.25,0,0.75,0.5,0.5,0.1666666667,3,12,0.39,-0.38,0.43,5
3,9,0,0.3333333333,0,0.25,0.75,0.8333333333,0.3333333333,0.3333333333,1,4,0.29,0.21,0.29,7
3,10,0,0.5,0,0,0.75,0.6666666667,0.3333333333,0.1666666667,1,0,0.33,-0.54,0.31,8
4,0,1,1,1,0.4,1,0.8,1,0.6,0,1,0.62,-0.05,0.6,8
4,1,0.8,0.8,1,1,0.8,1,1,0.8,0,0,0.59,-0.07,0.62,8
4,2,0.6,1,0.8,1,1,0.8,0.8,0.8,0,0,0.63,-0.03,0.59,8
4,3,1,1,1,1,1,1,1,1,0,0,0.62,-0.29,0.69,8
4,4,0.6,0.8,0.6,1,1,1,0.8,0.6,0,0,0.62,0.26,0.6,7
4,5,0.6,0.8,0.8,0.6,0.6,1,0.8,0.8,1,2,0.54,0.15,0.62,8
4,6,0.6,0.8,0.6,0.8,1,1,1,1,0,1,0.65,0.03,0.61,6
4,7,0.6,0.8,0.6,1,0.6,1,0.8,1,0,0,0.62,0.23,0.67,6
4,8,0.6,0.6,0.8,0.8,0.8,0.6,0.8,0.8,0,2,0.63,-0.39,0.66,8
4,9,1,1,1,0.6,1,1,1,0.8,0,1,0.56,0.01,0.61,8
4,10,0.6,0.2,0.4,0.8,1,0.8,0.6,0.6,4,4,0.52,-0.08,0.57,8
4,11,0.6,0.4,1,0.6,1,0.8,0.6,0.8,5,9,0.54,0.32,0.46,7
4,12,0.8,0.4,0.8,0.6,0.8,0.6,0.6,0.4,4,4,0.52,0.26,0.54,8
4,13,0.8,0.4,1,1,1,1,0.6,0.6,4,4,0.53,-0.41,0.54,8
5,0,1,1,1,0.75,1,1,1,0.6,0,1,0.65,0.97,0.69,7
5,1,0.75,1,1,0.75,1,0.8,1,0.6,0,0,0.7,0.88,0.72,8
5,2,1,1,1,0.75,1,1,1,0.6,0,2,0.71,0.76,0.74,8
5,3,1,1,1,0.75,1,0.8,1,0.4,0,0,0.78,0.83,0.67,8
5,4,0.75,1,1,0.75,0.75,1,1,0.4,0,0,0.76,0.47,0.63,7
5,5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0,5,9,0.29,0.69,0.31,5
5,6,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,5,9,0.44,0.94,0.48,7
5,7,0.5,0.4,0.5,0.5,0.5,0.4,0.2,0.2,5,9,0.41,0.95,0.47,3
5,8,0.5,0.4,0.5,0.5,0.5,0.2,0.2,0.2,5,4,0.44,0.69,0.44,5
5,9,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,5,9,0.46,0.69,0.43,3
