id,image_id,llava_dsg,llava_tifa,llava-alt_dsg,fuyu_dsg,mplug_dsg,mplug_tifa,llava-alt_tifa,fuyu_tifa,llmscore_over,llmscore_ec,clipscore_norm,blipscore_norm,alignscore_norm
0,0,1,0.8333333333,1,1,1,0.8333333333,0.8333333333,0.5,0,1,0.72,-0.42,0.84
0,1,0.6,0.6666666667,0.8,1,0.8,0.6666666667,0.5,0.8333333333,1,0,0.55,-0.33,0.53
0,2,0.6,0.6666666667,0.8,0.6,0.8,0.6666666667,0.5,0.6666666667,1,0,0.55,-0.34,0.58
0,3,0.8,0.5,0.8,0.6,0.6,0.6666666667,0.6666666667,0.6666666667,1,0,0.61,0.42,0.57
0,4,0.8,0.5,0.8,0.4,0.8,0.6666666667,0.6666666667,0.5,1,0,0.58,0.28,0.54
0,5,0.8,0.8333333333,0.8,1,0.6,0.8333333333,0.8333333333,0.8333333333,1,0,0.54,0.79,0.63
0,6,0.6,0.8333333333,0.8,0.8,0.8,0.8333333333,0.6666666667,0.5,0,0,0.73,-0.74,0.7
0,7,1,0.8333333333,1,1,1,0.8333333333,0.8333333333,0.5,0,1,0.68,-0.26,0.79
0,8,0.8,0.8333333333,1,0.8,1,0.8333333333,0.8333333333,0.6666666667,0,1,0.64,-0.6,0.75
0,9,0.4,0.3333333333,0.4,0.6,0.4,0.3333333333,0.3333333333,0.5,3,12,0.41,-0.05,0.4
0,10,0.4,0.3333333333,0.4,0.8,0.4,0.5,0.5,0.6666666667,1,0,0.5,-0.28,0.47
0,11,0.6,0.5,0.8,0.4,0.8,0.5,0.6666666667,0.5,1,0,0.5,0.91,0.55
1,0,1,1,1,0.25,0.75,1,1,0.4,0,1,0.75,0.8,0.61
1,1,0.5,0.4,0.75,0.75,1,0.8,0.6,0.4,0,0,0.63,0.5,0.58
1,2,0.5,0.4,0.75,1,1,0.8,0.4,1,0,0,0.64,0.83,0.55
1,3,0.5,0.4,1,1,0.5,1,0.8,1,1,0,0.54,0.05,0.56
1,4,0.5,0.4,1,0.75,1,0.8,0.8,0.6,0,4,0.65,0.76,0.57
1,5,0.5,0.4,0.75,1,1,0.8,0.8,0.6,1,2,0.59,0.08,0.62
1,6,0.5,0.6,0.5,0.5,1,0.8,0.6,0.4,1,0,0.59,-0.08,0.34
1,7,0.5,0.6,0.5,0.25,0.5,0.6,0.6,0.4,5,4,0.48,0.23,0.61
1,8,0.5,0.6,0.5,0.25,0.75,0.6,0.6,0,1,4,0.58,-0.25,0.36
