id,image_id,rank,score
0,0,0,34.11362838745117
0,1,1a,28.247901916503906
0,2,1a,28.883007049560547
0,3,1a,31.314531326293945
0,4,1a,30.901390075683594
0,5,1a,29.990371704101562
0,6,1b,34.196533203125
0,7,1b,34.035831451416016
0,8,1b,32.71406555175781
0,9,2,25.144174575805664
0,10,2,28.096084594726562
0,11,2,28.06740379333496
1,0,0,35.172306060791016
1,1,1a,32.3159065246582
1,2,1a,31.737878799438477
1,3,1a,28.38741111755371
1,4,1a,32.42068862915039
1,5,1a,30.452253341674805
1,6,1b,28.99112892150879
1,7,1b,25.98589515686035
1,8,1b,29.424345016479492
1,9,1b,28.59681510925293
1,10,1b,24.759746551513672
2,0,0a,31.636028289794922
2,1,0b,33.772037506103516
2,2,0b,34.2324333190918
2,3,0b,32.80331802368164
2,4,0b,32.70276641845703
2,5,0b,33.934749603271484
2,6,0c,33.322940826416016
2,7,0c,32.79681396484375
2,8,0c,33.3710823059082
2,9,0c,32.81709671020508
2,10,0c,33.98146438598633
2,11,1a,23.87275505065918
2,12,1a,24.111778259277344
2,13,1a,25.702123641967773
2,14,1a,25.813262939453125
2,15,1a,24.810970306396484
2,16,1b,24.30615234375
2,17,1b,25.269939422607422
2,18,1b,24.534217834472656
2,19,1b,23.845998764038086
2,20,1b,25.456233978271484
2,21,2,19.763044357299805
3,0,0,30.705522537231445
3,1,1a,28.7372989654541
3,2,1a,29.922317504882812
3,3,1a,32.33658981323242
3,4,1a,28.189682006835938
3,5,1a,28.798900604248047
3,6,1b,20.0926570892334
3,7,1b,19.823942184448242
3,8,1b,14.526005744934082
3,9,1b,21.208799362182617
3,10,1b,23.032991409301758
4,0,0,31.27470588684082
4,1,1,30.57080078125
4,2,1,31.262561798095703
4,3,1,31.25351333618164
4,4,1,31.44982147216797
4,5,2a,29.3057918548584
4,6,2a,31.61512565612793
4,7,2a,30.890974044799805
4,8,2a,31.691429138183594
4,9,2b,29.914846420288086
4,10,2b,26.91339683532715
4,11,2b,29.216501235961914
4,12,2b,28.51113510131836
4,13,2b,28.369400024414062
5,0,0,33.134315490722656
5,1,0,34.461570739746094
5,2,0,35.251739501953125
5,3,0,36.52346420288086
5,4,0,36.376956939697266
5,5,1,21.79173469543457
5,6,1,26.440935134887695
5,7,1,26.26299476623535
5,8,1,26.683151245117188
5,9,1,27.55945587158203
5,10,2a,30.959415435791016
5,11,2a,29.421594619750977
5,12,2a,31.157255172729492
5,13,2a,31.455835342407227
5,14,2a,30.432783126831055
5,15,2b,19.324758529663086
5,16,2b,18.959592819213867
5,17,2b,19.89185905456543
5,18,2b,18.779258728027344
5,19,2c,19.052263259887695
5,20,2c,18.727859497070312
5,21,2c,20.918222427368164
