id,image_id,blip1_dsg,fuyu_dsg,instruct_blip_dsg,llava-alt_dsg,llava_dsg,mplug_dsg,blip1_tifa,fuyu_tifa,instruct_blip_tifa,llava-alt_tifa,llava_tifa,mplug_tifa,alignscore,blipscore,clipscore,gpt4v_tifa,gpt4v_dsg
0,0,1,1,1,1,1,1,1,0.5,0.833333333,0.833333333,0.833333333,0.833333333,0.84,-0.42,0.72,0.5,1
0,1,0.6,1,0.8,0.8,0.6,0.8,0.833333333,0.833333333,0.666666667,0.5,0.666666667,0.666666667,0.53,-0.33,0.55,0.333333333,0.6
0,2,0.8,0.6,0.8,0.8,0.6,0.8,0.833333333,0.666666667,0.5,0.5,0.666666667,0.666666667,0.58,-0.34,0.55,0.333333333,0.6
0,3,0.6,0.6,0.8,0.8,0.8,0.6,0.833333333,0.666666667,0.5,0.666666667,0.5,0.666666667,0.57,0.42,0.61,0.333333333,0.6
0,4,0.6,0.4,0.8,0.8,0.8,0.8,0.666666667,0.5,0.5,0.666666667,0.5,0.666666667,0.54,0.28,0.58,0.333333333,0.6
0,5,0.6,1,0.8,0.8,0.8,0.6,0.833333333,0.833333333,0.5,0.833333333,0.833333333,0.833333333,0.63,0.79,0.54,0.333333333,0.6
0,6,0.8,0.6,1,0.6,0.4,0.6,0.666666667,0.5,0.833333333,0.666666667,0.833333333,0.833333333,0.7,-0.74,0.73,0.333333333,0.4
0,7,1,1,1,1,1,1,1,0.5,0.833333333,0.833333333,0.833333333,0.833333333,0.79,-0.26,0.68,0.333333333,1
0,8,0.8,0.6,1,1,0.6,1,0.5,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333,0.75,-0.6,0.64,0.333333333,0.4
0,9,0.2,0.4,0.2,0.2,0.2,0.4,0.333333333,0.5,0.166666667,0.333333333,0.333333333,0.333333333,0.4,-0.05,0.41,0.166666667,0.2
0,10,0.2,0.8,0.4,0.4,0.4,0.4,0.5,0.666666667,0.5,0.5,0.333333333,0.5,0.47,-0.28,0.5,0.166666667,0.2
0,11,0.6,0.4,0.8,0.8,0.4,0.8,0.5,0.5,0.5,0.666666667,0.5,0.5,0.55,0.91,0.5,0.166666667,0.4
1,0,1,0,1,1,1,0.75,0.8,0.4,1,1,1,1,0.61,0.8,0.75,0.8,0.75
1,1,1,0.75,0.5,0.5,0.5,1,0.8,0.4,0.6,0.6,0.4,0.8,0.58,0.5,0.63,0.4,0.5
1,2,0.5,1,0.5,0.5,0.5,1,0.4,1,0.4,0.4,0.4,0.8,0.55,0.83,0.64,0.4,0.5
1,3,0.5,1,0.5,1,0.5,0.5,0.4,1,0.4,0.8,0.4,1,0.56,0.05,0.54,0.4,0.5
1,4,1,0.25,0.5,1,0.5,1,1,0.6,0.6,0.8,0.4,0.8,0.57,0.76,0.65,0.4,0.5
1,5,0.5,1,0.5,0.5,0.5,1,0.4,0.6,0.6,0.8,0.4,0.8,0.62,0.08,0.59,0.4,0.5
1,6,0.25,0.25,0.25,0.25,0.25,1,0.4,0.4,0.6,0.6,0.6,0.8,0.34,-0.08,0.59,0.4,0.25
1,7,0.25,0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.6,0.61,0.23,0.48,0.4,0.25
1,8,0.25,0,0.25,0.25,0.25,0.25,0.4,0,0.4,0.6,0.6,0.6,0.36,-0.25,0.58,0.4,0.25
1,9,0.25,0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.8,0.48,0.1,0.54,0.4,0.25
1,10,0.25,0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.8,0.5,0.49,0.43,0.4,0.25
2,0,1,1,1,1,1,1,1,0.875,1,1,0.875,1,0.78,-0.79,0.63,0.625,1
2,1,1,0.333333333,1,1,1,1,1,0.75,1,1,1,1,0.76,-0.98,0.68,0.625,1
2,2,1,1,1,1,1,1,1,0.75,1,1,1,1,0.8,-0.63,0.71,0.625,1
2,3,1,1,1,1,1,1,1,0.875,1,1,1,1,0.73,-0.66,0.64,0.625,1
2,4,1,1,1,1,1,1,1,0.75,1,1,1,1,0.79,-0.55,0.65,0.625,1
2,5,1,1,1,1,1,1,1,0.75,1,1,1,1,0.79,-0.83,0.69,0.5,1
2,6,1,1,1,1,1,1,1,0.75,1,1,1,1,0.75,-0.81,0.69,0.625,1
2,7,1,0.833333333,1,1,1,0.833333333,1,0.75,1,1,0.875,1,0.76,-0.59,0.66,0.5,0.666666667
2,8,1,0.666666667,1,1,0.666666667,1,1,0.75,1,0.875,0.875,1,0.73,-0.81,0.67,0.5,0.666666667
2,9,1,1,1,1,1,1,1,0.75,1,1,1,1,0.79,-0.61,0.67,0.5,0.666666667
2,10,1,1,1,1,0.666666667,1,1,0.875,1,1,0.875,1,0.77,-0.69,0.69,0.5,0.833333333
2,11,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.875,0.5,0.5,0.375,0.25,0.75,0.42,0.01,0.39,0.25,0.333333333
2,12,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0.25,0.5,0.39,0.19,0.39,0.25,0.333333333
2,13,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.375,0.375,0.375,0.75,0.38,-0.38,0.44,0.25,0.333333333
2,14,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.75,0.5,0.5,0.5,0.375,0.5,0.4,-0.46,0.46,0.25,0.333333333
2,15,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.75,0.5,0.5,0.375,0.5,0.5,0.45,-0.56,0.41,0.25,0.333333333
2,16,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.375,0.375,0.375,0.375,0.375,0.3,0.24,0.4,0.25,0.333333333
2,17,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.25,0.375,0.375,0.25,0.625,0.35,-0.42,0.43,0.25,0.333333333
2,18,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.625,0.375,0.375,0.5,0.5,0.5,0.33,-0.26,0.4,0.25,0.333333333
2,19,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.375,0.375,0.375,0.375,0.375,0.5,0.33,-0.31,0.39,0.25,0.333333333
2,20,0.333333333,0.166666667,0.333333333,1,0.333333333,0.333333333,0.5,0.25,0.5,0.625,0.5,0.75,0.42,-0.41,0.44,0.25,0.333333333
2,21,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.25,0.5,0.25,0.375,0.375,0.375,0.1,0.11,0.25,0.125,0.166666667
3,0,1,0,0.75,1,1,1,0.833333333,0.333333333,0.666666667,1,1,1,0.48,-0.44,0.6,0.666666667,1
3,1,1,0,0.5,1,0.75,1,0.833333333,0.5,0.666666667,1,1,1,0.49,-0.46,0.54,0.666666667,1
3,2,1,0,1,1,0.75,1,0.833333333,0.333333333,1,1,1,0.833333333,0.47,-0.21,0.57,0.666666667,0.75
3,3,1,0,1,1,1,1,1,0.5,1,1,1,1,0.37,-0.65,0.69,0.666666667,1
3,4,1,0,0.75,1,1,1,0.833333333,0.333333333,0.666666667,1,1,0.833333333,0.48,-0.03,0.51,0.666666667,0.75
3,5,1,0,0.75,1,1,1,0.833333333,0.333333333,0.666666667,1,1,1,0.52,-0.38,0.55,0.666666667,1
3,6,0,0,0,0,0,0,0.666666667,0.166666667,0.5,0.333333333,0.333333333,0.666666667,0.34,-0.04,0.27,0.166666667,0
3,7,0,0,0,0,0,0,0.666666667,0.333333333,0.5,0.333333333,0.5,0.666666667,0.3,-0.31,0.26,0.166666667,0
3,8,0,0,0,0,0,0,0.666666667,0.166666667,0.5,0.5,0.5,0.5,0.43,-0.38,0.39,0.166666667,0
3,9,0,0,0,0,0,0,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.833333333,0.29,0.21,0.29,0.166666667,0
3,10,0,0,0,0,0,0,0.666666667,0.166666667,0.5,0.333333333,0.5,0.666666667,0.31,-0.54,0.33,0.166666667,0
4,0,1,0.2,1,1,1,1,0.8,0.6,0.8,1,1,0.8,0.6,-0.05,0.62,0.6,0.6
4,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,1,0.8,1,0.62,-0.07,0.59,0.2,0.6
4,2,1,1,1,0.8,0.6,1,0.8,0.8,0.8,0.8,1,0.8,0.59,-0.03,0.63,0.4,0.4
4,3,1,1,1,1,1,1,0.8,1,0.8,1,1,1,0.69,-0.29,0.62,0.6,1
4,4,1,1,1,0.6,0.6,1,0.8,0.6,0.8,0.8,0.8,1,0.6,0.26,0.62,0.2,0.6
4,5,1,0.2,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.8,1,0.62,0.15,0.54,0.6,0.6
4,6,0.6,0.2,0.6,0.6,0.6,1,0.6,1,0.6,1,0.8,1,0.61,0.03,0.65,0.4,0.6
4,7,0.6,1,1,0.6,0.6,0.6,0.6,1,0.8,0.8,0.8,1,0.67,0.23,0.62,0.4,0.6
4,8,0.8,0.2,0.6,0.8,0.6,0.8,0.8,0.8,0.6,0.8,0.6,0.6,0.66,-0.39,0.63,0.2,0.4
4,9,1,0.2,1,1,1,1,0.8,0.8,1,1,1,1,0.61,0.01,0.56,0.4,1
4,10,0.2,0.8,1,0.2,0.2,1,0.2,0.6,0.4,0.6,0.2,0.8,0.57,-0.08,0.52,0.2,0.2
4,11,0.8,0.2,1,1,0.6,1,0.8,0.8,0.4,0.6,0.4,0.8,0.46,0.32,0.54,0.2,0.2
4,12,0.8,0.2,1,0.8,0.8,0.2,0.8,0.4,0.4,0.6,0.4,0.6,0.54,0.26,0.52,0.2,0.2
4,13,0.8,1,1,1,0.8,1,0.8,0.6,0.4,0.6,0.4,1,0.54,-0.41,0.53,0.2,0.2
5,0,1,0.25,1,1,1,1,1,0.6,1,1,1,1,0.69,0.97,0.65,0.6,1
5,1,1,0.25,1,1,0.75,1,1,0.6,1,1,1,0.8,0.72,0.88,0.7,0.6,1
5,2,1,0.25,1,1,1,1,1,0.6,1,1,1,1,0.74,0.76,0.71,0.6,1
5,3,1,0.25,1,1,1,1,1,0.4,1,1,1,0.8,0.67,0.83,0.78,0.6,1
5,4,1,0.25,1,1,0.75,0.75,1,0.4,1,1,1,1,0.63,0.47,0.76,0.6,1
5,5,0.5,0,0.75,0.5,0.5,0.5,0.4,0,0.2,0.4,0.4,0.4,0.31,0.69,0.29,0.2,0.5
5,6,0.5,0,0.5,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.48,0.94,0.44,0.2,0.5
5,7,0.5,0,0.75,0.5,0.5,0.5,0.4,0.2,0.4,0.2,0.4,0.4,0.47,0.95,0.41,0.2,0.5
5,8,0.5,0,0.75,0.5,0.5,0.5,0.4,0.2,0.2,0.2,0.4,0.2,0.44,0.69,0.44,0.2,0.5
5,9,0.5,0,0.75,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.43,0.69,0.46,0.2,0.5
5,10,0.75,0.25,1,0.75,0.75,0.75,1,0.6,1,1,1,0.8,0.54,0.42,0.58,0.6,0.5
5,11,0.5,0.25,1,0.5,0.5,0.75,1,0.6,1,1,0.8,1,0.57,0.27,0.54,0.6,0.5
5,12,0.75,0.25,1,0.75,0.5,0.5,1,0.6,1,1,1,1,0.56,0.15,0.6,0.6,0.5
5,13,0.5,0.25,0.75,0.5,0.5,0.75,1,0.4,1,1,1,1,0.55,0.31,0.61,0.6,0.5
5,14,0.5,1,1,0.5,0.5,0.5,1,0.4,1,0.8,0.8,1,0.49,0.44,0.58,0.6,0.5
5,15,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.2,0.2,0.2,0.4,0.4,0.22,0.69,0.22,0.2,0.5
5,16,0.5,0,0.5,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.22,0.8,0.21,0.2,0.5
5,17,0.5,0.5,0.75,0.5,0.5,0.5,0.4,0.2,0.2,0.4,0.4,0.4,0.17,0.77,0.21,0.2,0.5
5,18,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.4,0.4,0.4,0.4,0.22,0.51,0.2,0.2,0.5
5,19,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.2,0.2,0.4,0.4,0.4,0.21,0.27,0.21,0.2,0.5
5,20,0.5,0,0.5,0.5,0.5,0.5,0.2,0.2,0.4,0.2,0.4,0.4,0.23,0.78,0.19,0.2,0.5
5,21,0.5,0.5,0.75,0.5,0.5,0.5,0.4,0.2,0.2,0.4,0.4,0.4,0.15,0.75,0.24,0.2,0.5
5,22,0.5,0,0.5,0.5,0.5,0.5,0.4,0.2,0.4,0.2,0.2,0.4,0.21,0.74,0.18,0.2,0.5
5,23,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0.18,0.1,0.07,0,0
5,24,0,0,0,0,0,0,0.2,0,0,0,0,0,0.19,0.13,0.11,0,0
5,25,0,0,0,0,0,0,0.2,0,0,0,0,0,0.17,0.33,0.14,0,0
5,26,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0.17,0.65,0.11,0,0
5,27,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.22,0.58,0.1,0,0
5,28,0.25,0.25,0.25,0.25,0.25,0.25,0.6,0.6,0.6,0.4,0.4,0.6,0.42,0.33,0.44,0.2,0.25
5,29,0.25,0,0.25,0.5,0.5,0.75,0.6,0.2,0.6,0.4,0.4,0.6,0.46,0.43,0.53,0.2,0.25
5,30,0.5,0.25,1,0.5,0.5,0.5,1,0,0.8,1,0.8,0.8,0.51,0.53,0.6,0.6,0.5
5,31,0.25,0.25,0.25,0.25,0.25,0.25,0.6,0.4,0.6,0.6,0.8,0.8,0.48,0.4,0.55,0.2,0.25
6,0,0.6,0.6,0.6,0.6,0.6,0.6,0.625,0.75,0.5,0.625,0.625,0.75,0.69,-0.14,0.55,0.375,0.6
6,1,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.25,0.375,0.5,0.375,0.5,0.52,0.36,0.44,0.25,0.6
6,2,0.6,0.6,0.6,0.6,0.2,0.6,0.5,0.25,0.375,0.5,0.375,0.375,0.44,0.38,0.39,0.25,0.6
6,3,0.6,0.2,0.6,0.6,0.6,0.6,0.375,0.5,0.375,0.375,0.5,0.5,0.56,0.05,0.43,0.25,0.6
6,4,0.6,0.6,0.8,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.59,-0.06,0.51,0.375,0.8
6,5,0.6,0.2,0.6,0.6,0.6,0.4,0.5,0.375,0.375,0.5,0.5,0.5,0.56,-0.05,0.53,0.375,0.6
6,6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.375,0.5,0.5,0.5,0.5,0.57,0.09,0.53,0.375,0.6
6,7,0.6,0.6,0.6,0.6,0.6,0.6,0.625,0.25,0.5,0.5,0.5,0.5,0.59,-0.02,0.49,0.375,0.6
6,8,0.6,0.6,0.6,0.6,0.6,0.8,0.375,0.25,0.375,0.5,0.375,0.5,0.4,0.45,0.46,0.25,0.6
6,9,0.6,0.2,0.6,0.6,0.6,0.6,0.375,0.25,0.375,0.5,0.25,0.5,0.39,0.77,0.42,0.25,0.6
6,10,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.375,0.375,0.5,0.375,0.375,0.51,0.71,0.47,0.25,0.6
6,11,0.6,0.2,0.6,0.6,0.6,0.6,0.375,0.25,0.375,0.625,0.375,0.375,0.47,0.68,0.46,0.25,0.6
6,12,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0,0.125,0.25,0.125,0.25,0.34,0.13,0.3,0.125,0.2
6,13,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0,0.125,0.25,0.125,0.375,0.45,0.09,0.33,0.125,0.2
6,14,0.6,0.2,0.6,0.2,0.2,0.2,0.5,0.125,0.375,0.125,0.125,0.375,0.35,0.05,0.35,0.125,0.2
6,15,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0,0.125,0.25,0.125,0.125,0.4,0.35,0.33,0.125,0.2
6,16,0.2,0,0.2,0.2,0.2,0.2,0.375,0.125,0.375,0.25,0.25,0.375,0.26,-0.63,0.48,0.125,0.2
6,17,0.2,0,0.2,0.2,0.2,0.2,0.375,0.25,0.25,0.375,0.375,0.375,0.31,0.23,0.43,0.125,0.2
6,18,0.2,0.2,0.6,0.2,0.2,0.2,0.25,0.125,0.25,0.25,0.25,0.375,0.33,-0.26,0.45,0.125,0.2
6,19,0.2,0.2,0.2,0.2,0.2,0.2,0.375,0.125,0.375,0.25,0.25,0.25,0.24,-0.12,0.47,0.125,0.2
7,0,1,0.2,1,1,1,1,0.875,0.75,0.75,1,1,1,0.68,-0.37,0.57,0.5,1
7,1,1,0.2,1,1,1,1,0.875,0.5,0.75,1,1,0.875,0.64,-0.07,0.49,0.5,1
7,2,1,0.4,1,1,1,1,0.875,0.75,0.875,1,1,1,0.7,0.26,0.63,0.375,0.8
7,3,1,0,1,1,1,1,0.875,0.5,0.75,0.875,1,1,0.68,-0.29,0.57,0.5,1
7,4,1,0.2,1,1,0.6,1,0.875,0.5,0.875,0.875,1,1,0.62,0.29,0.6,0.375,1
7,5,1,0.2,1,1,1,1,0.75,0.625,0.75,1,1,1,0.67,-0.19,0.55,0.375,0.6
7,6,0.6,0.4,0.6,0.6,0.6,0.6,0.625,0.5,0.625,0.875,0.75,0.625,0.58,0.74,0.52,0.25,0.6
7,7,1,0.4,1,1,1,1,0.875,0.5,0.75,1,1,1,0.61,0.27,0.65,0.5,0.8
7,8,0.6,0.8,0.6,0.6,0.6,0.6,0.625,0.5,0.625,0.875,0.75,0.75,0.32,0.21,0.52,0.25,0.6
7,9,0.6,0.8,1,0.6,0.6,0.6,0.625,0.375,0.75,0.875,0.75,0.75,0.49,0.49,0.49,0.25,0.6
7,10,1,0.4,1,1,1,1,0.875,0.625,0.75,1,1,1,0.62,0.6,0.56,0.5,1
7,11,0.4,0.4,0.4,0.4,0.4,0.4,0.625,0.625,0.625,0.625,0.75,0.75,0.46,0.01,0.43,0.125,0.2
7,12,1,0.4,0.4,0.4,0.4,0.4,0.875,0.375,0.5,0.625,0.625,0.5,0.43,0.16,0.36,0.125,0.4
7,13,1,0.4,0.4,0.4,0.4,0.4,0.875,0.375,0.625,0.625,0.625,0.5,0.43,-0.37,0.45,0.25,0.4
7,14,1,0.4,1,0.4,0.4,0.4,0.75,0.5,0.625,0.75,0.5,0.75,0.48,0.1,0.42,0.25,0.4
7,15,0.4,0.2,0.4,0.4,0.2,0.2,0.75,0.375,0.625,0.625,0.5,0.625,0.53,-0.15,0.38,0.125,0.2
7,16,1,0.2,1,0.4,0.4,0.4,0.875,0.5,0.625,0.75,0.625,0.625,0.49,0.14,0.35,0.125,0.2
7,17,0.4,0,0.4,1,0.4,0.4,0.5,0.125,0.5,0.75,0.875,0.625,0.5,0.03,0.37,0.125,0.2
7,18,1,0.2,1,1,0.4,1,0.75,0.625,0.625,1,0.75,1,0.58,-0.09,0.38,0.25,0.6
7,19,1,0.2,1,0.4,0.2,0.6,0.625,0.375,0.5,0.875,0.625,0.75,0.52,-0.03,0.4,0.375,0.8
7,20,0.4,0.4,0.4,0.4,0.4,0.2,0.625,0.375,0.5,0.625,0.625,0.625,0.51,-0.03,0.43,0.25,0.2
7,21,0.4,0.4,0.2,0.2,0.2,0.4,0.375,0.25,0.5,0.25,0.625,0.625,0.26,-0.02,0.27,0.125,0.2
7,22,0.2,0.4,0.2,0.2,0.2,0.2,0.25,0.375,0.375,0.5,0.5,0.625,0.13,0.07,0.11,0,0
7,23,0.6,0.4,0.2,0.2,0.2,0.2,0.625,0.375,0.25,0.5,0.375,0.25,0.22,0.06,0.26,0.125,0.2
7,24,0.2,0.4,0.2,0.2,0.2,0.2,0.625,0.75,0.5,0.5,0.625,0.625,0.36,0.48,0.51,0.125,0.2
7,25,0.4,0.2,0.2,0.2,0.2,0.2,0.625,0.625,0.625,0.5,0.625,0.625,0.36,-0.16,0.46,0.125,0.2
7,26,0.4,0.2,0.4,0.4,0.2,0.4,0.625,0.375,0.625,0.625,0.625,0.75,0.48,0.03,0.38,0.25,0.4
7,27,0.2,0.4,0.2,0.2,0.2,0.4,0.625,0.5,0.5,0.5,0.625,0.75,0.44,0.35,0.48,0.125,0.2
7,28,0.4,0.4,0.4,0.4,0.4,0.4,0.875,0.625,0.625,0.625,0.75,0.75,0.48,0.02,0.53,0.25,0.4
8,0,1,1,0.8,1,1,0.8,0.833333333,0.5,0.833333333,1,0.833333333,0.666666667,0.63,0.66,0.5,0.666666667,0.8
8,1,1,0.8,1,1,1,1,1,0.333333333,1,1,0.833333333,1,0.69,-0.06,0.56,1,1
8,2,1,0,1,1,1,1,1,0,1,1,0.833333333,1,0.7,0.05,0.57,0.833333333,1
8,3,1,0.8,1,0.8,0.8,1,1,0.333333333,1,0.833333333,0.666666667,0.833333333,0.72,0.27,0.58,0.833333333,1
8,4,1,0.2,1,1,1,1,1,0,1,1,0.833333333,0.833333333,0.74,0.29,0.55,1,1
8,5,0.8,0.8,0.8,0.8,0.8,0.8,0.833333333,0.166666667,0.833333333,0.833333333,0.666666667,0.833333333,0.73,0.14,0.47,0.666666667,0.8
8,6,0.8,1,0.8,0.8,0.8,1,0.833333333,0.5,0.833333333,0.666666667,0.666666667,0.833333333,0.77,0.08,0.5,0.666666667,0.8
8,7,0.6,0.2,1,0.6,0.6,1,0.666666667,0.333333333,1,0.666666667,0.5,0.833333333,0.61,-0.13,0.49,0.666666667,1
8,8,0.8,0.8,0.6,0.8,0.6,0.6,0.833333333,0.166666667,0.666666667,0.666666667,0.5,0.666666667,0.67,0.3,0.46,0.5,0.6
8,9,0.8,0.6,0.6,0.6,0.6,1,0.833333333,0.5,0.666666667,0.666666667,0.5,0.666666667,0.71,0.29,0.46,0.5,0.8
8,10,0.8,0.2,0.6,0.8,0.6,1,0.833333333,0.166666667,0.666666667,0.5,0.5,0.833333333,0.67,0.28,0.43,0.5,0.6
8,11,0.8,0.4,0.6,0.8,0.6,1,0.833333333,0.166666667,0.666666667,0.5,0.5,0.833333333,0.73,0.34,0.51,0.5,0.6
8,12,0.8,1,0.6,0.8,0.6,0.8,0.833333333,0.333333333,0.666666667,0.666666667,0.5,0.833333333,0.67,0.21,0.45,0.5,0.6
8,13,0.8,1,0.8,0.8,0.8,0.8,0.666666667,0.5,0.833333333,0.833333333,0.666666667,0.666666667,0.62,-0.16,0.48,0.833333333,0.8
8,14,0.8,0.8,1,0.8,0.8,0.8,0.833333333,0.333333333,1,0.833333333,0.5,0.833333333,0.62,0.24,0.42,0.833333333,0.8
8,15,1,0.4,0.8,0.8,0.8,1,1,0.166666667,0.833333333,0.833333333,0.666666667,1,0.72,0.28,0.49,0.666666667,0.8
8,16,1,0.8,0.8,1,0.8,1,1,0,0.833333333,0.833333333,0.666666667,0.666666667,0.65,0.05,0.55,0.833333333,1
8,17,1,0,1,1,1,1,1,0,1,1,0.833333333,0.833333333,0.68,0.31,0.53,0.833333333,0.8
8,18,0.8,0.4,0.8,0.8,0.8,1,0.833333333,0,0.833333333,0.666666667,0.666666667,0.833333333,0.69,0.19,0.5,0.666666667,0.8
8,19,0.8,1,0.8,0.8,0.8,0.8,0.833333333,0.5,0.833333333,0.833333333,0.666666667,0.666666667,0.71,-0.07,0.51,0.666666667,0.8
8,20,0.8,1,0.8,0.8,0.8,0.8,0.833333333,0.333333333,0.833333333,0.666666667,0.5,0.666666667,0.68,0,0.5,0.833333333,0.8
8,21,1,0.6,0.8,0.8,0.8,0.8,1,0.166666667,0.833333333,0.833333333,0.666666667,1,0.59,-0.21,0.44,0.666666667,1
8,22,0.4,0,0.8,0.4,0.4,0.8,0.5,0.166666667,0.833333333,0.5,0.333333333,0.666666667,0.53,-0.11,0.47,0.333333333,0.4
8,23,0.6,0.2,0.8,0.6,0.4,1,0.666666667,0,1,0.666666667,0.333333333,0.666666667,0.63,0.11,0.54,0.666666667,0.6
8,24,0.4,0,1,0.4,0.2,0.4,0.5,0,1,0.333333333,0.333333333,0.5,0.56,0.29,0.43,0.166666667,0.4
8,25,0.8,0.4,0.8,0.8,0.8,1,0.833333333,0,0.833333333,0.666666667,0.666666667,0.666666667,0.74,0.09,0.42,0.666666667,0.8
8,26,0.8,0.2,0.6,0.8,0.6,0.8,0.833333333,0,0.666666667,0.833333333,0.5,0.833333333,0.75,0.2,0.53,0.666666667,0.8
