id,image_id,blip1_dsg,fuyu_dsg,instruct_blip_dsg,llava-alt_dsg,llava_dsg,mplug_dsg,blip1_tifa,fuyu_tifa,instruct_blip_tifa,llava-alt_tifa,llava_tifa,mplug_tifa,alignscore,clipscore,gpt4v_tifa,gpt4v_dsg,viescore,llmscore_over,llmscore_ec
0,0,1,1,1,1,1,1,1,0.5,0.833333333,0.833333333,0.833333333,0.833333333,0.84,0.72,0.5,1,7,0,1
0,0,0.6,1,0.8,0.8,0.6,0.8,0.833333333,0.833333333,0.666666667,0.5,0.666666667,0.666666667,0.53,0.55,0.333333333,0.6,8,1,0
0,0,0.8,0.6,0.8,0.8,0.6,0.8,0.833333333,0.666666667,0.5,0.5,0.666666667,0.666666667,0.58,0.55,0.333333333,0.6,8,1,0
0,0,0.6,0.6,0.8,0.8,0.8,0.6,0.833333333,0.666666667,0.5,0.666666667,0.5,0.666666667,0.57,0.61,0.333333333,0.6,8,1,0
0,0,0.6,0.4,0.8,0.8,0.8,0.8,0.666666667,0.5,0.5,0.666666667,0.5,0.666666667,0.54,0.58,0.333333333,0.6,7,1,0
0,0,0.6,1,0.8,0.8,0.8,0.6,0.833333333,0.833333333,0.5,0.833333333,0.833333333,0.833333333,0.63,0.54,0.333333333,0.6,9,1,0
0,0,0.8,0.6,1,0.6,0.4,0.6,0.666666667,0.5,0.833333333,0.666666667,0.833333333,0.833333333,0.7,0.73,0.333333333,0.4,8,0,0
0,0,1,1,1,1,1,1,1,0.5,0.833333333,0.833333333,0.833333333,0.833333333,0.79,0.68,0.333333333,1,8,0,1
0,0,0.8,0.6,1,1,0.6,1,0.5,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333,0.75,0.64,0.333333333,0.4,8,0,1
0,0,0.2,0.4,0.2,0.2,0.2,0.4,0.333333333,0.5,0.166666667,0.333333333,0.333333333,0.333333333,0.4,0.41,0.166666667,0.2,7,3,12
0,0,0.2,0.8,0.4,0.4,0.4,0.4,0.5,0.666666667,0.5,0.5,0.333333333,0.5,0.47,0.5,0.166666667,0.2,8,1,0
0,0,0.6,0.4,0.8,0.8,0.4,0.8,0.5,0.5,0.5,0.666666667,0.5,0.5,0.55,0.5,0.166666667,0.4,8,1,0
1,,1,0,1,1,1,0.75,0.8,0.4,1,1,1,1,0.61,0.75,0.8,0.75,8,0,1
1,1,1,0.75,0.5,0.5,0.5,1,0.8,0.4,0.6,0.6,0.4,0.8,0.58,0.63,0.4,0.5,7,0,0
1,2,0.5,1,0.5,0.5,0.5,1,0.4,1,0.4,0.4,0.4,0.8,0.55,0.64,0.4,0.5,8,0,0
1,3,0.5,1,0.5,1,0.5,0.5,0.4,1,0.4,0.8,0.4,1,0.56,0.54,0.4,0.5,8,1,0
1,4,1,0.25,0.5,1,0.5,1,1,0.6,0.6,0.8,0.4,0.8,0.57,0.65,0.4,0.5,8,0,4
1,5,0.5,1,0.5,0.5,0.5,1,0.4,0.6,0.6,0.8,0.4,0.8,0.62,0.59,0.4,0.5,8,1,2
1,6,0.25,0.25,0.25,0.25,0.25,1,0.4,0.4,0.6,0.6,0.6,0.8,0.34,0.59,0.4,0.25,7,1,0
1,7,0.25,0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.6,0.61,0.48,0.4,0.25,7,5,4
1,8,0.25,0,0.25,0.25,0.25,0.25,0.4,0,0.4,0.6,0.6,0.6,0.36,0.58,0.4,0.25,6,1,4
1,9,0.25,0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.8,0.48,0.54,0.4,0.25,8,5,9
1,10,0.25,0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.8,0.5,0.43,0.4,0.25,7,5,0
2,,1,1,1,1,1,1,1,0.875,1,1,0.875,1,0.78,0.63,0.625,1,9,0,0
2,1,1,0.333333333,1,1,1,1,1,0.75,1,1,1,1,0.76,0.68,0.625,1,8,0,0
2,2,1,1,1,1,1,1,1,0.75,1,1,1,1,0.8,0.71,0.625,1,8,0,0
2,3,1,1,1,1,1,1,1,0.875,1,1,1,1,0.73,0.64,0.625,1,8,0,0
2,4,1,1,1,1,1,1,1,0.75,1,1,1,1,0.79,0.65,0.625,1,8,0,0
2,5,1,1,1,1,1,1,1,0.75,1,1,1,1,0.79,0.69,0.5,1,8,0,0
