,instructblip_tifa,llava-alt_tifa,llmscore_ec,llmscore_over,llava_tifa,blip1_tifa,llava-alt_dsg,clipscore_norm,blipscore_norm,mplug_tifa,fuyu_dsg,llava_dsg,alignscore_norm,instructblip_dsg,fuyu_tifa,mplug_dsg,blip1_dsg,viescore
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
9,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
10,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
