,alignscore,clipscore,fuyu_dsg,fuyu_tifa,instruct_blip_dsg,instruct_blip_tifa,llava-alt_dsg,llava-alt_tifa,llava_dsg,llava_tifa,mplug_dsg,mplug_tifa,blip1_dsg,blip1_tifa,gpt4v_tifa,gpt4v_dsg,viescore,llmscore_over,llmscore_ec
0,-0.8771182225108212,-0.8848344629391112,-0.6973967798940346,0.14629629629629629,-0.8809780658335369,-0.8344130137115054,-0.8480619508860302,-0.7557949247937238,-0.8997092443662429,-0.8593625224349106,-0.7809266561994607,-0.8978246903780592,-0.8936340197298662,-0.9081855400684563,-1.0,-0.92895642027943,0.3552358505390877,0.8397485053031222,-0.2520860823762272
1,-0.5674822722221865,-0.7977240352174657,0.5433078796633375,0.20556456574004975,-1.0,-0.8592885651111362,-0.773861278752583,-0.9142084347897571,-1.0,-1.0,0.0,-0.7834783849371486,-0.773861278752583,-0.6707825127659933,-1.0,-1.0,-0.47066447040556714,0.6183300132670377,-0.0015780814207512841
2,-0.8761178168416173,-0.8776258976911283,-0.8675865651078287,-0.8617966332066376,-1.0,-0.981572080112532,-0.9410773923222465,-0.9230393349640461,-0.9573971838427203,-0.8685398396982229,-0.9425464925471512,-0.9649696852873016,-1.0,-0.9696187563002593,-0.9365237565703758,-0.9450859086667248,-0.7435300527873024,0.986034948749139,0.6631371464899021
3,-0.39886201760873286,-0.6381792281739725,0.0,-0.07386127875258307,-0.4118082896311804,-0.3,-0.5,-0.44095855184409843,-0.7000000000000001,-0.41833001326703784,-0.5,-0.614208434789757,-0.5,-0.3709005551264194,-0.5,-0.7000000000000001,-0.3313667478318056,0.570057996717679,0.39440531887330776
4,-0.031185078881092947,-0.34888499699782166,-0.08661171774968174,0.2875800378570571,-0.3485357403387618,-0.6336760773671075,-0.4392089204881236,-0.6226016573639223,-0.5958985874370585,-0.7372040953761908,-0.38867094836637267,0.1399587051875104,-0.7412700777577528,-0.5180768742595153,-0.5106722595421926,-0.3788277505452073,-0.2846545914273421,0.5750749157401016,0.465226553484091
5,-0.8275066151852108,-0.8141726016957476,-0.3402443364792626,-0.5775470352465718,-0.8212646003033569,-0.7338951124711554,-0.9403905889519628,-0.7323161757943056,-0.911266043662988,-0.8147934449436443,-0.8757445180125448,-0.6541458399526855,-0.9499107658492218,-0.7101602503186115,-0.7689239906627231,-0.9638976196127879,-0.5667588624599652,0.7650066282288076,0.7077693501432556
6,-0.9099763930278092,-0.7389813671387923,-0.6865103498230068,-0.8715318913498881,-0.4821581777625973,-0.8355452469498303,-0.612669831217745,-0.7609692844653538,-0.5603199842340413,-0.9483303402823273,-0.49318750874864153,-0.8736364158085557,-0.5503099338460058,-0.8579500138597851,-0.9185525947093274,-0.6010459321764797,-0.42739222693886453,0.25605927088084823,0.2683007823374016
7,-0.6972912995474785,-0.6952696248577359,0.202216689421213,-0.5663488661461917,-0.6641521348342788,-0.7637104360681923,-0.7285933666370279,-0.7312833678315072,-0.8392357725031786,-0.7051775153230798,-0.7228245689758467,-0.6224228977556288,-0.6464426480300872,-0.6649292481849547,-0.730921813055522,-0.7714691591009467,-0.4916032063809591,0.7810819353228727,0.6676653364919569
8,-0.6577228923522281,-0.777036751548113,-0.5176325545358461,-0.31141757614325505,-0.721804535418737,-0.8117820010651963,-0.9183105600036915,-0.9198671425895271,-0.9094555814606606,-0.9285481343834788,-0.6466939193694276,-0.6254509351221186,-0.8623426006686897,-0.7938763568449015,-0.7852809270354931,-0.7804980991274851,-0.4325261604145456,0.7961698689794843,0.6706773105901076
9,-0.8566291542122063,-0.8763293081983838,-0.6873517173241809,-0.7087534022662295,-0.7488036964479344,-0.6965264878648442,-0.8067290391497874,-0.8092812507217522,-0.7633757321882358,-0.8065840328415452,-0.7214959370592219,-0.7634381012887264,-0.7866967212395155,-0.7565889525024679,-0.6309429940319395,-0.8104026002228818,-0.5185490719584959,0.6802356733926893,0.4091723330853971
10,-0.713521839723497,-0.6837695155785312,-0.2931116795796817,-0.7353573331978889,-0.8322490272069852,-0.8448650391729542,-0.8624461232082153,-0.7477553837896519,-0.7420965999254057,-0.745773138206969,-0.8102124931056689,-0.6869975668005938,-0.8682612297246277,-0.8337716045966693,-0.8521526764720938,-0.7056521100606141,-0.3771720531270426,0.5872236224858792,0.41790407497626825
11,-0.7116162638819293,-0.709269529253286,-0.23486415475399625,-0.7332005907824927,-0.8491627151692686,-0.8224769318989841,-0.9910031398112201,-0.8224769318989841,-0.8491627151692686,-0.7461378243792895,-0.8491627151692686,-0.7354414076817648,-0.8588041277485452,-0.8555413763312297,-0.8290676887743861,-0.8900291198627842,-0.8596577353026482,0.8491627151692686,0.7598222473689636
12,-0.7977240352174657,-0.7977240352174657,0.17089384025227225,-0.8651483716701106,-0.9142084347897571,-0.9409585518440985,-0.6290994448735806,-0.6829051443734969,-0.8325384480567948,-0.7148198305966815,-0.6381612112807523,-0.5055578508659025,-0.6707825127659933,-0.6787835658962161,-0.6707825127659933,-0.8415650255319866,-0.3281650616569468,0.6801793064385837,0.17453919665543746
