id,prompt,question_id,question,choices,answer
0,A Christmas tree with lights and teddy bear,0,is there a Christmas tree?,yes|no,yes
0,A Christmas tree with lights and teddy bear,1,what type of tree is this?,Christmas tree|pine tree|oak tree|palm tree,Christmas tree
0,A Christmas tree with lights and teddy bear,2,are there lights on the Christmas tree?,yes|no,yes
0,A Christmas tree with lights and teddy bear,3,what is on the Christmas tree?,lights|ornaments|garlands|presents,lights
0,A Christmas tree with lights and teddy bear,4,is there a teddy bear?,yes|no,yes
0,A Christmas tree with lights and teddy bear,5,what toy is on the Christmas tree?,teddy bear|doll|robot|ball,teddy bear
1,A group of planes near a large wall of windows.,0,are there planes?,yes|no,yes
1,A group of planes near a large wall of windows.,1,what type of vehicles are these?,planes|cars|boats|trains,planes
1,A group of planes near a large wall of windows.,2,is there a wall of windows?,yes|no,yes
1,A group of planes near a large wall of windows.,3,what is on the wall?,windows|doors|paintings|mirrors,windows
1,A group of planes near a large wall of windows.,4,is there a group of planes?,yes|no,yes
1,A group of planes near a large wall of windows.,5,how many planes are there?,1|2|3|4,group of
2,A brown bear walking across a forest surrounded by trees..,0,is this a brown bear?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,1,what animal is walking across the forest?,brown bear|black bear|polar bear|grizzly bear,brown bear
2,A brown bear walking across a forest surrounded by trees..,2,is this a forest?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,3,what type of place is this?,forest|park|garden|desert,forest
2,A brown bear walking across a forest surrounded by trees..,4,are there trees?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,5,is the brown bear walking?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,6,is the bear brown?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,7,what color is the bear?,brown|black|white|gray,brown
3,A large motorcycle that is sitting outside of a building.,0,is there a motorcycle?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,1,what type of vehicle is this?,motorcycle|car|bicycle|truck,motorcycle
3,A large motorcycle that is sitting outside of a building.,2,is there a building?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,3,what type of structure is this?,building|house|bridge|tower,building
3,A large motorcycle that is sitting outside of a building.,4,is the motorcycle large?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,5,what size is the motorcycle?,large|small|medium|extra large,large
3,A large motorcycle that is sitting outside of a building.,6,is the motorcycle sitting?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,7,what is the motorcycle doing?,sitting|standing|lying down|running,sitting
3,A large motorcycle that is sitting outside of a building.,8,is the motorcycle outside?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,9,is the motorcycle outside or inside?,outside|inside|on top|underneath,outside
4,A male skateboarder is trying to pull off a trick on the ramp.,0,is this a skateboarder?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,1,who is trying to pull off a trick?,skateboarder|cyclist|rollerblader|surfer,skateboarder
4,A male skateboarder is trying to pull off a trick on the ramp.,2,is there a ramp?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,3,what is the skateboarder trying to do on the ramp?,pull off a trick|ride down|jump over|slide on,pull off a trick
4,A male skateboarder is trying to pull off a trick on the ramp.,4,is the skateboarder male?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,5,is the skateboarder male or female?,male|female|non-binary|unknown,male
5,A woman is showing a scooter to another woman.,0,is this a woman?,yes|no,yes
5,A woman is showing a scooter to another woman.,1,who is showing a scooter?,woman|man|boy|girl,woman
5,A woman is showing a scooter to another woman.,2,is there a scooter?,yes|no,yes
5,A woman is showing a scooter to another woman.,3,what vehicle is being shown?,scooter|bicycle|motorcycle|car,scooter
5,A woman is showing a scooter to another woman.,4,is the woman showing a scooter?,yes|no,yes
6,A man in a green suiit leaning over a laptop,0,is this a man?,yes|no,yes
6,A man in a green suiit leaning over a laptop,1,what is the person wearing?,green suit|tuxedo|jeans and t-shirt|formal attire,green suit
6,A man in a green suiit leaning over a laptop,2,is the man wearing a green suit?,yes|no,yes
6,A man in a green suiit leaning over a laptop,3,what color is the man's suit?,green|blue|black|red,green
6,A man in a green suiit leaning over a laptop,4,is there a laptop?,yes|no,yes
6,A man in a green suiit leaning over a laptop,5,what electronic device is on the table?,laptop|tablet|smartphone|desktop computer,laptop
6,A man in a green suiit leaning over a laptop,6,is the man leaning over the laptop?,yes|no,yes
6,A man in a green suiit leaning over a laptop,7,what is the man doing with the laptop?,leaning over|typing|watching a video|playing a game,leaning over
7,A woman holding a racquet on top of a tennis court.,0,is this a woman?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,1,who is holding a racquet?,woman|man|boy|girl,woman
7,A woman holding a racquet on top of a tennis court.,2,is there a racquet?,yes|no,yes
