,dsg_fuyu,dsg_llava,dsg_mplug,tifa_fuyu,tifa_llava,tifa_mplug,clipscore,blipscore,alignscore,dsg_mplug1,tifa_mplug1
0,3,3,3,3,3,3,3,3,3,3,3
1,2,2,2,2,2,2,2,2,2,2,2
2,4,4,4,4,4,4,4,4,4,4,4
3,2,2,2,2,2,2,2,2,2,2,2
4,3,3,3,3,3,3,3,3,3,3,3
5,7,7,7,7,7,7,7,7,7,7,7
6,5,5,5,5,5,5,5,5,5,5,5
7,6,6,6,6,6,6,6,6,6,6,6
8,0,14,0,0,14,0,14,14,14,14,14
9,17,3,17,17,17,17,17,17,17,17,17
10,12,12,12,12,12,12,12,12,12,12,12
11,2,2,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2,2,2
13,5,5,5,5,5,5,5,5,5,5,5
14,5,5,5,5,5,5,5,5,5,5,5
15,3,3,3,3,3,3,3,3,3,3,3
16,2,2,2,2,2,2,2,2,2,2,2
17,8,8,8,8,8,8,8,8,8,8,8
18,2,2,2,0,2,2,2,2,2,2,2
19,6,6,6,6,6,6,6,6,6,6,6
20,2,1,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2,2
23,1,1,1,1,1,1,1,1,1,2,2
24,2,0,2,2,2,2,2,2,2,2,2
25,0,7,0,0,7,0,7,7,7,7,7
26,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,2,2
28,2,2,2,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,2,2,2,2,2
30,0,9,0,0,9,0,9,9,9,9,9
31,1,1,1,1,1,1,1,1,1,1,1
32,2,2,2,2,2,2,2,2,2,2,2
33,2,0,2,2,2,2,2,2,2,2,2
34,2,2,2,2,2,2,2,2,2,2,2
35,0,1,0,0,2,0,2,2,2,2,2
36,2,2,2,2,2,2,2,2,2,2,2
37,2,2,2,2,2,2,2,2,2,2,2
38,2,2,2,1,2,2,2,2,2,2,2
39,6,6,6,6,6,6,6,6,6,6,6
40,2,2,2,2,2,2,2,2,2,2,2
41,6,6,6,6,6,6,6,6,6,6,6
42,3,3,3,3,3,3,3,3,3,3,3
43,1,1,1,1,1,1,1,1,1,1,1
44,2,2,2,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2,2,2,2
46,5,5,5,5,5,5,5,5,5,5,5
47,1,1,1,1,1,1,1,1,1,1,1
48,4,4,4,4,4,4,4,4,4,4,4
49,2,2,2,2,2,2,2,2,2,2,2
50,0,14,0,0,14,0,14,14,14,14,14
51,4,4,4,4,4,4,4,4,4,4,4
52,2,2,2,2,2,2,2,2,2,2,2
53,9,9,9,9,9,9,9,9,9,9,9
54,6,6,6,6,6,6,6,6,6,6,6
55,2,2,2,2,2,2,2,2,2,2,2
56,5,5,5,5,5,5,5,5,5,5,5
57,3,3,3,3,3,3,3,3,3,3,3
58,2,2,2,2,2,2,2,2,2,2,2
59,6,0,6,6,6,6,6,6,6,6,6
60,5,5,5,5,5,5,5,5,5,5,5
61,5,0,5,5,5,5,5,5,5,5,5
62,6,3,6,6,6,6,6,6,6,6,6
63,8,8,8,8,8,8,8,8,8,8,8
64,4,4,4,4,4,4,4,4,4,4,4
65,2,2,2,2,2,2,2,2,2,2,2
66,4,4,4,4,4,4,4,4,4,4,4
67,6,6,6,6,6,6,6,6,6,6,6
68,4,4,4,4,4,4,4,4,4,4,4
69,6,6,6,6,6,6,6,6,6,6,6
70,4,4,4,4,4,4,4,4,4,4,4
71,3,3,3,3,3,3,3,3,3,3,3
72,5,5,5,5,5,5,5,5,5,5,5
73,6,6,6,6,6,6,6,6,6,6,6
74,5,5,5,5,5,5,5,5,5,5,5
75,4,4,4,4,4,4,4,4,4,4,4
76,3,3,3,3,3,3,3,3,3,3,3
77,3,3,3,3,3,3,3,3,3,3,3
78,8,8,8,8,8,8,8,8,8,8,8
79,5,5,5,5,5,5,5,5,5,5,5
80,2,2,2,2,2,2,2,2,2,2,2
81,1,1,1,1,1,1,1,1,1,1,1
82,5,5,5,5,5,5,5,5,5,5,5
83,3,3,3,3,3,3,3,3,3,3,3
84,0,7,0,0,7,0,7,7,7,7,7
85,7,7,7,7,7,7,7,7,7,7,7
86,9,9,9,9,9,9,9,9,9,9,9
87,0,0,0,0,0,0,0,0,0,1,1
88,3,3,3,3,3,3,3,3,3,3,3
89,5,5,5,5,5,5,5,5,5,5,5
90,0,7,0,0,7,0,7,7,7,7,7
91,2,2,2,2,2,2,2,2,2,2,2
92,3,3,3,3,3,3,3,3,3,3,3
93,5,5,5,5,5,5,5,5,5,5,5
94,7,7,7,7,7,7,7,7,7,7,7
95,7,7,7,7,7,7,7,7,7,7,7
96,6,6,6,6,6,6,6,6,6,6,6
97,3,3,3,3,3,3,3,3,3,3,3
98,0,7,0,0,7,0,7,7,7,7,7
99,9,9,9,9,9,9,9,9,9,9,9
100,1,1,1,1,1,1,1,1,1,2,2
101,7,7,7,7,7,7,7,7,7,7,7
102,2,2,2,2,2,2,2,2,2,3,3
103,1,1,1,1,1,1,1,1,1,1,1
104,3,3,3,3,3,3,3,3,3,3,3
105,3,3,3,3,3,3,3,3,3,3,3
106,2,2,2,2,2,2,2,2,2,2,2
107,1,1,1,1,1,1,1,1,1,2,2
108,0,10,0,0,10,0,10,10,10,12,12
109,3,3,3,0,3,3,3,3,3,3,3
110,7,7,7,0,7,7,7,7,7,7,7
111,1,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1,1,1,1,1
113,0,2,0,0,2,0,2,2,2,2,2
114,1,1,1,1,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1,1,1,1,1
116,0,0,0,0,0,0,0,0,0,1,1
117,0,0,0,0,0,0,0,0,0,1,1
118,2,2,2,2,2,2,2,2,2,2,2
119,2,2,2,2,2,2,2,2,2,2,2
120,2,2,2,2,2,2,2,2,2,2,2
121,0,2,0,0,2,0,2,2,2,2,2
122,0,0,0,0,0,0,0,0,0,0,0
123,1,1,1,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1,1,1
126,0,1,0,0,1,0,1,1,1,1,1
127,0,1,0,0,1,0,1,1,1,1,1
128,0,2,0,0,2,0,2,2,2,2,2
129,1,1,1,1,1,1,1,1,1,1,1
130,2,2,2,2,2,2,2,2,2,2,2
131,2,2,2,2,2,2,2,2,2,2,2
132,3,3,3,3,3,3,3,3,3,3,3
133,2,2,2,2,2,2,2,2,2,2,2
134,2,2,2,2,2,2,2,2,2,2,2
135,1,1,1,1,1,1,1,1,1,1,1
136,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0
146,1,1,1,1,1,1,1,1,1,1,1
147,2,2,2,2,2,2,2,2,2,2,2
148,1,1,1,1,1,1,1,1,1,1,1
149,1,1,1,1,1,1,1,1,1,1,1
150,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0
152,1,1,1,1,1,1,1,1,1,1,1
153,2,2,2,2,2,2,2,2,2,2,2
154,0,0,0,0,0,0,0,0,0,0,0
155,1,1,1,1,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1,1,1,1,1
157,2,2,2,2,2,2,2,2,2,2,2
158,1,1,1,1,1,1,1,1,1,1,1
159,2,2,2,2,2,2,2,2,2,2,2
160,2,2,2,2,2,2,2,2,2,2,2
161,1,1,1,1,1,1,1,1,1,1,1
162,1,1,1,1,1,1,1,1,1,1,1
163,2,2,2,2,2,2,2,2,2,2,2
164,1,1,1,1,1,1,1,1,1,1,1
165,1,1,1,1,1,1,1,1,1,1,1
166,1,1,1,1,1,1,1,1,1,1,1
167,1,1,1,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1,1,1,1
169,1,1,1,0,1,1,1,1,1,1,1
170,0,0,0,0,0,0,0,0,0,0,0
171,1,1,1,1,1,1,1,1,1,1,1
172,1,1,1,1,1,1,1,1,1,1,1
173,1,1,1,0,1,1,1,1,1,1,1
174,1,1,1,1,1,1,1,1,1,1,1
175,2,2,2,1,2,2,2,2,2,2,2
176,1,1,1,1,1,1,1,1,1,1,1
177,1,1,1,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1,1,1,1
180,1,1,1,1,1,1,1,1,1,1,1
181,1,1,1,1,1,1,1,1,1,1,1
182,1,1,1,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1,1,1,1,1
184,2,2,2,2,2,2,2,2,2,2,2
185,2,2,2,2,2,2,2,2,2,2,2
186,1,1,1,1,1,1,1,1,1,1,1
187,1,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1,1,1,1
190,2,2,2,2,2,2,2,2,2,2,2
191,1,1,1,1,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1,1,1,1,1
193,1,1,1,1,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1,1,1,1
197,0,0,0,0,0,0,0,0,0,0,0
198,1,1,1,1,1,1,1,1,1,1,1
199,1,1,1,1,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1,1,1,1,1
201,2,2,2,2,2,2,2,2,2,2,2
202,1,1,1,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1,1,1,1
204,0,0,0,0,0,0,0,0,0,0,0
205,1,1,1,1,1,1,1,1,1,1,1
206,1,1,1,1,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1,1,1,1,1
208,1,1,1,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1,1,1,1
211,0,0,0,0,0,0,0,0,0,0,0
212,1,1,1,1,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1,1,1,1
215,0,0,0,0,0,0,0,0,0,0,0
216,1,1,1,1,1,1,1,1,1,1,1
217,1,1,1,1,1,1,1,1,1,1,1
218,1,1,1,1,1,1,1,1,1,1,1
219,1,1,1,1,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1,1,1,1,1
223,1,1,1,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1,1,1,1
225,2,2,2,2,2,2,2,2,2,2,2
226,1,1,1,1,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1,1,1,1,1
228,0,2,0,0,2,0,2,2,2,2,2
229,1,1,1,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1,1,1,1
231,0,2,0,0,2,0,2,2,2,2,2
232,1,1,1,1,1,1,1,1,1,1,1
233,2,2,2,2,2,2,2,2,2,2,2
234,0,1,0,0,1,0,1,1,1,1,1
235,0,2,0,0,2,0,2,2,2,2,2
236,1,1,1,1,1,1,1,1,1,1,1
237,1,1,1,1,1,1,1,1,1,1,1
238,2,2,2,2,2,2,2,2,2,2,2
239,1,1,1,1,1,1,1,1,1,1,1
240,0,1,0,0,1,0,1,1,1,1,1
241,2,2,2,2,2,2,2,2,2,2,2
242,1,1,1,1,1,1,1,1,1,1,1
243,1,1,1,1,1,1,1,1,1,1,1
244,1,1,1,1,1,1,1,1,1,1,1
245,1,1,1,1,1,1,1,1,1,1,1
