metric,spearman-all,spearman-synth,spearman-nat,spearman-real,delta-all,delta-synth,delta-nat,delta-real,ks-all,ks-synth,ks-nat,ks-real,cost,cost-generous
alignscore,0.73901613,0.77588251,0.7023922,0.62556722,0.95623015,0.95588094,0.98623578,1.00809086,0.928342,0.94134666,0.92603704,0.87884579,6.88E+08,6.88E+08
clipscore,0.7141387,0.74970175,0.57994098,0.69297596,0.89709405,0.89852465,0.92518586,0.95091108,0.90653868,0.90535573,0.91525926,0.90344197,6.04E+08,6.04E+08
fuyu_dsg,0.29536955,0.35440165,0.20497819,0.14205602,0.37668021,0.37841389,0.39340718,0.39363727,0.63574395,0.65788183,0.68584564,0.50324942,1.40E+14,6.00E+09
fuyu_tifa,0.38748642,0.44485158,0.2346162,0.2965658,0.43898852,0.44583675,0.46094298,0.46909538,0.67196448,0.67273656,0.75733048,0.59268408,2.24E+14,2.40E+10
instruct_blip_dsg,0.7899548,0.85146485,0.70727746,0.61993041,1.10577501,1.1066296,1.11608218,1.12964764,0.8415688,0.87771167,0.81817094,0.7191791,1.40E+14,7.00E+09
instruct_blip_tifa,0.76459091,0.80241063,0.6512441,0.71586523,0.9984218,0.99899604,1.01088719,1.02639658,0.85014566,0.86658796,0.82806838,0.80467555,2.24E+14,2.80E+10
llava-alt_dsg,0.75012243,0.81647241,0.68846861,0.54214024,1.01971628,1.02075561,1.03013956,1.04159813,0.8032785,0.83894301,0.76688319,0.69438999,1.40E+14,7.00E+09
llava-alt_tifa,0.74379665,0.7922472,0.63981921,0.64456185,0.97080935,0.9728438,0.98773453,1.0039649,0.81928274,0.85241675,0.75632764,0.74414,2.24E+14,2.80E+10
llava_dsg,0.76191518,0.80055715,0.65923455,0.7004065,1.04713647,1.04661417,1.05499762,1.06808184,0.83077189,0.85728813,0.80945014,0.74469121,1.40E+14,1.40E+14
llava_tifa,0.74536497,0.79157002,0.62832716,0.66669302,0.97505471,0.97559484,0.98747522,1.00467298,0.82463686,0.85541839,0.7511339,0.76823775,2.24E+14,2.24E+14
mplug_dsg,0.70433713,0.74619983,0.65316253,0.58407303,0.94246665,0.94400781,0.96045902,0.97252495,0.78406928,0.80869314,0.71222585,0.75059919,1.40E+14,4.40E+09
mplug_tifa,0.70980808,0.72613423,0.66875829,0.68173816,0.92405198,0.92503235,0.94356087,0.95968087,0.80608685,0.80618866,0.84199223,0.77362491,2.24E+14,2.98E+11
blip1_dsg,0.7658274,0.81597436,0.71562695,0.61185232,1.03668474,1.03620279,1.04630269,1.05853143,0.80756017,0.84927016,0.73341673,0.70840934,1.40E+14,4.92E+10
blip1_tifa,0.73756037,0.78832795,0.62170733,0.63974337,0.93996753,0.93911052,0.95513303,0.96925635,0.81817684,0.84076206,0.7785799,0.76399697,2.24E+14,1.97E+11
gpt4v_tifa,0.77865394,0.83638419,0.61617019,0.69486953,0.92320135,0.92462472,0.93929798,0.9589775,0.83181151,0.86190535,0.80452862,0.73687065,1.66E+15,3.60E+14
gpt4v_dsg,0.7958067,0.825662,0.73711344,0.72985648,1.10173034,1.10050763,1.11501635,1.12967813,0.84172954,0.86636579,0.81720875,0.76595795,8.60E+14,1.44E+15
viescore,0.3782814799,0.424725792,0.2236808222,0.3321992584,0.45903568,0.46675168,0.46606726,0.46315449,0.5176402918,0.5366060903,0.4451113701,0.5072124133,2600000000,2600000000
llmscore_ec,0.4877522224,0.5019322064,0.3618504753,0.5439509886,0.66850128,0.67153385,0.66208695,0.6504221,0.7361077961,0.7113256681,0.8053597514,0.7725191295,7.01E+12,7.01E+12
llmscore_over,0.5768764686,0.6157844928,0.4444615321,0.5408615661,0.56308507,0.56675868,0.56374801,0.55960022,0.7353279259,0.7280733639,0.7668249158,0.7359647699,7.01E+12,7.01E+12
