id,question_id,vqa_answer,mc_answer,correct
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the Christmas tree.</s>,yes,1
0,2,Yes</s>,yes,1
0,3,Yes the Christmas tree has lights on it.</s>,yes,1
0,4,Yes</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the tree.</s>,yes,1
0,2,No</s>,no,0
0,3,Yes the Christmas tree is lit up with lights.</s>,yes,1
0,4,No</s>,no,0
0,0,Yes</s>,yes,1
0,1,Yes</s>,yes,1
0,2,No</s>,no,0
0,3,Yes</s>,yes,1
0,4,No</s>,no,0
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the Christmas tree.</s>,yes,1
0,2,No</s>,no,0
0,3,Yes the lights on the Christmas tree are turned on.</s>,yes,1
0,4,Yes</s>,yes,1
0,0,Yes</s>,yes,1
0,1,Yes</s>,yes,1
0,2,No</s>,no,0
0,3,Yes</s>,yes,1
0,4,Yes</s>,yes,1
0,0,Yes</s>,yes,1
0,1,Yes</s>,yes,1
0,2,No</s>,no,0
0,3,Yes the lights on the Christmas tree are lit up.</s>,yes,1
0,4,Yes</s>,yes,1
0,0,Yes</s>,yes,1
0,1,No</s>,no,0
0,2,Yes</s>,yes,1
0,3,No the lights are not on the Christmas tree. The tree is decorated with ornaments including red balls.</s>,no,0
0,4,Yes</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the wall and the Christmas tree.</s>,yes,1
0,2,Yes</s>,yes,1
0,3,Yes</s>,yes,1
0,4,Yes</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,No</s>,no,0
0,2,Yes</s>,yes,1
0,3,Yes the Christmas tree is decorated with lights.</s>,yes,1
0,4,Yes the teddy bear is sitting on the floor next to the Christmas tree.</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,No</s>,no,0
0,2,No</s>,no,0
0,3,No the Christmas tree is not lit up with lights.</s>,no,0
0,4,Yes</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,No</s>,no,0
0,2,No</s>,no,0
0,3,Yes the Christmas tree has lights on it.</s>,yes,1
0,4,No</s>,no,0
0,0,Yes</s>,yes,1
0,1,No</s>,no,0
0,2,No</s>,no,0
0,3,Yes</s>,yes,1
0,4,Yes</s>,yes,1
1,0,Yes</s>,yes,1
1,1,Yes there is a wall of windows in the image.</s>,yes,1
1,2,Yes</s>,yes,1
1,3,Yes</s>,yes,1
1,0,Yes</s>,yes,1
1,1,No there is no wall of windows in the image. The image features several airplanes parked on the ground.</s>,no,0
1,2,Yes</s>,yes,1
1,3,No</s>,no,0
1,0,Yes</s>,yes,1
1,1,No</s>,no,0
1,2,Yes</s>,yes,1
1,3,No</s>,no,0
1,0,Yes</s>,yes,1
1,1,No</s>,no,0
1,2,Yes</s>,yes,1
1,3,No</s>,no,0
1,0,Yes</s>,yes,1
1,1,No there is no wall of windows in the image. The image features a large number of airplanes parked on a tarmac.</s>,no,0
1,2,Yes</s>,yes,1
1,3,No the planes are not near the wall of windows. They are on the ground parked in a field.</s>,no,0
1,0,Yes</s>,yes,1
1,1,No</s>,no,0
1,2,Yes</s>,yes,1
1,3,No the planes are not near the wall of windows. They are parked on the tarmac of an airport.</s>,no,0
1,0,No</s>,no,0
1,1,Yes</s>,yes,1
1,2,No</s>,no,0
1,3,Yes</s>,yes,1
1,0,No</s>,no,0
1,1,Yes</s>,yes,1
1,2,No</s>,no,0
1,3,Yes</s>,yes,1
1,0,No</s>,no,0
