id,question_id,vqa_answer,mc_answer,correct
0,0,Yes</s>,yes,1
0,1,A Christmas tree</s>,Christmas tree,1
0,2,Yes</s>,yes,1
0,3,Ornaments</s>,ornaments,0
0,4,Yes</s>,yes,1
0,5,There is no toy on the Christmas tree. The image features a teddy bear sitting next to a Christmas tree which is decorated with ornaments and lights.</s>,teddy bear,1
0,0,Yes</s>,yes,1
0,1,A pine tree B fir tree C evergreen tree D holly tree  A</s>,pine tree,0
0,2,Yes</s>,yes,1
0,3,Lights</s>,lights,1
0,4,No</s>,no,0
0,5,There is no toy on the Christmas tree in the image. The tree is decorated with lights and ornaments.</s>,teddy bear,1
0,0,Yes</s>,yes,1
0,1,A pine tree B fir tree C spruce tree D evergreen tree  Answer: D</s>,pine tree,0
0,2,Yes</s>,yes,1
0,3,The Christmas tree is decorated with lights.</s>,lights,1
0,4,No</s>,no,0
0,5,There is no toy on the Christmas tree in the image. The tree is decorated with lights which create a festive and illuminated appearance.</s>,teddy bear,1
0,0,Yes</s>,yes,1
0,1,A pine tree B. Fir tree C. Palm tree D. Maple tree</s>,pine tree,0
0,2,Yes</s>,yes,1
0,3,A star on top of the tree</s>,ornaments,0
0,4,No</s>,no,0
0,5,There is no toy on the Christmas tree in the image. The tree is decorated with lights and a star on top.</s>,teddy bear,1
0,0,Yes</s>,yes,1
0,1,A pine tree B. Fir tree C. Spruce tree D. Palm tree  A pine tree</s>,pine tree,0
0,2,Yes</s>,yes,1
0,3,A star</s>,tinsel,0
0,4,No</s>,no,0
0,5,There is no toy on the Christmas tree in the image. The image shows a lit Christmas tree with a star on top.</s>,teddy bear,1
0,0,Yes</s>,yes,1
0,1,A Christmas tree</s>,Christmas tree,1
0,2,Yes</s>,yes,1
0,3,The Christmas tree is decorated with blue lights.</s>,lights,1
0,4,No</s>,no,0
0,5,There is no toy on the Christmas tree. The tree is decorated with lights and ornaments.</s>,teddy bear,1
0,0,Yes</s>,yes,1
0,1,A Christmas tree</s>,Christmas tree,1
0,2,No</s>,no,0
0,3,Balls</s>,lights,1
0,4,Yes</s>,yes,1
0,5,A teddy bear is on the Christmas tree.</s>,teddy bear,1
0,0,Yes</s>,yes,1
0,1,A Christmas tree</s>,Christmas tree,1
0,2,Yes</s>,yes,1
0,3,Ornaments</s>,ornaments,0
0,4,Yes</s>,yes,1
